ULMeanNL,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,NbrPktDL,NbrPktLossDL,RSRQ,Label
-95,185,134,370440,126795,41487,-12,2
-95,140,107,370440,214295,60302,-12,2
-95,149,95,370440,291252,72703,-12,2

-88,151,14,165200,331364,184114,-17,3
-106,195,182,292520,465264,31319,-11,0
-108,203,201,341960,135356,3850,-11,0
-109,132,126,523242,259950,15188,-11,0
-108,171,164,292520,495513,37891,-11,0
-104,156,143,291840,201635,15258,-12,0


-98,138,92,354300,110967,30841,-11,2
-109,170,160,497180,545559,9842,-10,0
-108,162,147,167900,389121,18173,-11,0
-98,194,146,176720,160698,63735,-11,2
-108,126,114,461900,277492,2206,-11,0
-108,104,95,535896,43479,4144,-11,0

-91,192,71,404540,443541,312025,-15,3
-89,144,59,714676,106090,82704,-15,3
-91,237,80,392940,147301,101180,-15,3
-108,157,142,163060,166549,5790,-11,0
-85,211,55,176920,175289,132273,-17,3
-108,192,180,293640,113200,1816,-11,0

-104,164,154,176340,490070,4145,-12,0
-104,167,157,169360,105803,8188,-12,0
-86,160,56,133120,162885,116261,-17,3
-108,134,126,342080,278636,22483,-11,0
-108,142,141,462900,335263,22767,-11,0
-108,181,172,373900,386554,25394,-11,0


-111,120,108,181980,287334,8704,-10,0
-108,171,159,471980,394458,2877,-10,0
-108,101,91,340660,177083,14305,-11,0
-109,151,148,512660,470762,16130,-11,0
-110,189,170,649055,305004,5568,-11,0
-109,186,170,471980,557805,29198,-11,0

-108,134,123,354760,298539,4990,-11,0
-107,185,170,498300,95090,4473,-11,0
-106,142,136,519940,243438,2184,-12,0
-88,190,41,462480,618358,463832,-16,3
-108,180,166,714101,579857,54418,-10,0
-110,136,134,518268,152422,2807,-11,0

-93,210,54,140440,36443,27785,-13,3
-90,144,54,638554,452648,343027,-15,3
-87,183,68,633776,505595,411999,-18,3
-88,183,93,695480,108718,83010,-17,3
-90,194,70,525636,373697,281022,-15,3
-91,222,74,158620,255108,181903,-14,3


-110,161,148,386740,444089,33541,-10,0
-101,123,86,621144,386259,123127,-10,1
-101,107,71,285640,96018,26570,-10,1
-99,110,64,470940,28045,9148,-10,1
-113,181,180,159220,31382,769,-10,0
-113,147,146,518769,187566,16910,-9,0

-106,144,144,497420,340236,7613,-11,0
-109,121,115,624200,99981,7238,-11,0
-108,136,125,645134,192077,13908,-11,0
-111,147,138,377740,159080,4097,-10,0
-112,185,175,645134,345056,31193,-10,0
-113,175,174,341820,79709,4407,-10,0

-112,111,108,640550,82118,4000,-9,0
-109,170,163,285900,479570,7928,-10,0
-110,142,135,142540,340299,1626,-10,0
-109,175,164,504240,115782,5856,-10,0
-106,157,147,644885,67004,5467,-11,0
-103,183,172,640550,543896,43953,-12,0


-97,113,76,163080,241109,83362,-11,1
-98,155,115,370640,40349,15662,-11,1
-96,78,52,344240,27385,5847,-11,1
-99,72,50,497300,22819,5569,-11,1
-97,131,99,632441,225841,83613,-11,1
-95,117,88,644446,348692,121358,-12,1

-94,195,133,643141,236372,49761,-12,2
-98,238,181,636053,403528,108739,-11,2
-106,176,170,401200,192833,2250,-11,0
-96,109,71,401200,188664,78304,-12,2
-96,185,135,401200,254584,69116,-12,2
-97,151,126,404020,24850,6879,-12,2

-94,109,75,381740,223803,38271,-12,1
-97,136,116,386440,127720,36803,-12,1
-106,204,192,496940,122987,9103,-11,0
-96,127,102,462440,324744,38052,-12,1
-98,116,67,387820,31747,7435,-11,1
-99,142,97,169520,175613,67234,-10,1


-108,160,148,500646,269919,10686,-11,0
-108,139,133,643407,221300,13432,-11,0
-106,141,131,472640,204450,3354,-11,0
-108,101,97,524064,253760,23816,-11,0
-108,188,182,394500,88382,4655,-11,0
-109,134,127,169400,239744,22871,-10,0

-106,211,207,142240,59984,5681,-12,0
-99,213,140,158100,190807,50737,-11,2
-109,148,143,520580,467183,9427,-11,0
-95,156,119,520580,132750,45088,-12,2
-93,207,169,520580,370606,150909,-12,2
-95,176,119,520580,151334,41661,-12,2

-109,138,130,355140,342037,19882,-11,0
-110,127,122,166600,42495,741,-10,0
-99,145,107,404820,21737,9226,-10,1
-114,250,240,135340,273124,23921,-9,0
-114,183,182,646142,166048,10161,-10,0
-108,90,82,502710,159837,12773,-11,0


-95,232,185,376000,178139,60357,-12,2
-94,142,103,376020,23418,5073,-12,2
-97,189,143,395120,447999,113669,-12,2
-93,171,134,376020,282499,86543,-12,2
-95,235,183,376020,463178,99607,-12,2
-95,199,125,376000,60852,26308,-12,2

-106,174,160,506196,202165,14633,-11,0
-88,137,39,637524,78373,61307,-16,3
-86,190,47,472940,116893,81707,-16,3
-89,171,46,301840,201037,150157,-16,3
-87,206,41,507900,454433,332472,-16,3
-88,164,44,636966,81169,63155,-17,3

-95,127,101,496760,71653,18396,-12,2
-108,164,164,523386,245636,10719,-11,0
-108,196,187,341920,132220,2628,-11,0
-105,132,127,462860,22214,1845,-12,0
-103,155,140,462860,83507,820,-12,0
-95,212,180,496760,120285,10030,-12,2


-94,186,128,710599,534753,166026,-12,2
-95,178,138,647920,286879,106470,-12,2
-96,248,182,668735,262187,77820,-12,2
-94,196,158,647920,307720,99714,-12,2
-97,179,121,644226,535100,164365,-12,2
-108,136,130,517780,100063,3510,-11,0

-105,147,133,147400,172562,16426,-12,0
-106,181,164,141720,119079,3319,-11,0
-108,206,205,286000,272648,13529,-11,0
-109,112,101,392400,29431,384,-11,0
-112,177,167,509500,28333,2833,-10,0
-112,131,122,139020,195553,13077,-9,0

-104,135,132,158300,192370,5419,-12,0
-106,118,117,167400,18259,1012,-12,0
-98,258,184,168000,503666,164344,-11,2
-109,178,175,507440,369031,10710,-11,0
-96,220,152,507880,602347,119848,-12,2
-96,201,136,507440,85943,28523,-12,2


-107,122,120,498460,177228,17539,-11,0
-106,192,189,393560,526659,22313,-11,0
-111,153,148,348060,126890,8009,-11,0
-115,164,151,643964,180154,14480,-9,0
-115,131,131,158680,411021,6708,-9,0
-113,205,203,520212,33296,523,-9,0

-110,166,155,669915,125659,1853,-11,0
-100,193,143,500718,148285,22227,-10,1
-112,154,150,178040,156266,7644,-10,0
-113,134,132,498720,414188,21463,-10,0
-110,144,137,170940,67096,990,-10,0
-107,147,147,286300,146843,3061,-11,0

-100,127,88,387180,240645,69523,-10,1
-100,137,85,168080,164961,46703,-9,1
-102,108,87,644030,224861,78084,-9,1
-106,198,189,349120,105189,6371,-11,0
-96,99,77,352440,110850,28273,-11,1
-98,120,92,497100,80961,11078,-11,1


-105,137,132,286280,288712,28178,-11,0
-108,141,134,163180,25162,887,-12,0
-89,204,41,178020,759556,523770,-15,3
-115,152,146,721676,384998,237,-10,0
-110,133,131,645690,171374,7888,-10,0
-117,216,202,139200,158709,10850,-8,0

-96,207,132,402200,563679,144077,-12,2
-107,176,162,379400,249705,3741,-12,0
-97,253,173,351440,45773,18090,-11,2
-108,126,120,646240,52993,5091,-11,0
-97,218,166,646240,271635,119197,-11,2
-111,113,111,390340,268957,9865,-10,0

-113,143,140,517596,337903,5061,-9,0
-112,114,108,159300,19112,630,-10,0
-108,164,158,339880,120919,4320,-11,0
-107,147,137,177340,340847,26075,-11,0
-109,178,161,159300,127317,2575,-11,0
-111,186,168,378280,225323,463,-10,0


-105,166,161,142480,236036,19393,-12,0
-111,167,158,158360,418461,7023,-10,0
-112,149,140,645142,30684,2983,-10,0
-110,168,168,497360,427062,5080,-11,0
-112,161,150,621354,107116,5278,-10,0
-114,144,133,164400,19636,85,-9,0

-109,104,96,341960,58422,3955,-11,0
-99,101,63,163580,287100,103994,-10,1
-97,159,121,403260,363205,120051,-10,1
-109,165,155,638333,290827,316,-11,0
-97,150,111,462660,85055,25182,-11,1
-107,93,90,380020,151094,13541,-11,0

-94,174,44,141340,74593,48207,-12,3
-95,173,61,696486,46042,31161,-12,3
-116,165,153,169480,341032,15707,-8,0
-90,170,56,642424,442115,286997,-14,3
-90,180,63,374060,274017,176040,-15,3
-87,182,68,169480,206845,181705,-16,3


-95,196,154,167220,132944,46757,-12,2
-97,212,131,167220,102817,30041,-12,2
-104,198,192,176540,552034,51053,-12,0
-96,147,95,176540,236420,55925,-12,2
-96,157,125,169260,277950,100257,-12,2
-96,193,126,169260,136800,30342,-12,2

-98,219,158,507552,500366,167366,-11,2
-107,157,151,352220,191159,16366,-11,0
-93,179,128,348460,29553,10107,-12,2
-94,181,121,352220,537997,160987,-12,2
-94,168,129,348460,267634,56260,-12,2
-95,199,147,339060,120416,43113,-12,2

-113,173,159,629498,46433,4398,-9,0
-114,130,129,177420,330447,17747,-9,0
-109,203,183,507560,51791,2923,-11,0
-108,116,113,462760,257492,7825,-11,0
-108,152,144,170480,181817,3952,-11,0
-105,178,176,166620,115725,9454,-12,0


-97,106,84,467840,49090,17192,-12,1
-97,103,62,537210,187708,79559,-12,1
-106,164,151,506862,604112,42686,-11,0
-106,121,112,373760,289347,8661,-11,0
-107,127,124,355120,282754,19078,-11,0
-100,118,87,521058,33033,6575,-11,1

-109,128,116,524802,19543,1813,-11,0
-108,123,121,380620,169096,5801,-11,0
-108,149,140,395240,23681,442,-11,0
-110,138,131,140360,387486,29059,-10,0
-112,179,175,512394,136628,6047,-10,0
-108,149,139,698963,354398,20116,-11,0

-106,109,103,138120,103555,709,-12,0
-109,106,99,165120,64834,5561,-11,0
-109,135,125,504762,205492,16621,-10,0
-109,146,139,339020,382088,36683,-10,0
-112,150,148,651864,295157,28213,-9,0
-115,197,178,168480,131301,4776,-9,0


-107,140,133,285520,212830,11251,-11,0
-87,254,98,373940,36528,26791,-16,3
-88,203,58,158260,349692,215134,-17,3
-86,192,30,163640,408140,266384,-17,3
-108,134,128,395600,18220,1037,-11,0
-86,131,52,386340,42630,33322,-18,3

-99,126,90,514420,73220,10662,-10,1
-102,95,64,292800,197424,61485,-10,1
-103,158,117,731134,23408,3866,-9,1
-98,113,76,370600,239236,69766,-11,1
-95,146,108,380120,45989,14162,-12,1
-97,174,137,461180,365755,96205,-11,1

-106,212,199,622380,57495,4118,-12,0
-105,132,125,637972,134002,2312,-12,0
-91,154,71,646930,407918,299014,-15,3
-113,157,146,158740,112260,8444,-9,0
-89,164,57,536670,118760,74678,-15,3
-106,196,187,622380,87288,1512,-11,0


-110,131,128,299220,221272,5481,-11,0
-107,96,95,504513,41877,1649,-11,0
-107,182,178,504513,28421,2573,-11,0
-109,173,164,341480,277216,2766,-11,0
-109,133,128,177340,285125,285,-11,0
-109,113,108,285640,82717,7690,-11,0

-118,171,156,670518,86122,7667,-8,0
-113,181,176,147240,380508,20318,-10,0
-106,209,200,285460,312496,13622,-11,0
-107,148,140,296540,102682,9811,-12,0
-108,114,105,182740,202032,4052,-11,0
-110,145,144,381120,376073,3481,-11,0

-107,187,170,530562,58476,3168,-12,0
-108,208,189,464120,432704,516,-11,0
-109,164,158,665176,379954,19049,-11,0
-111,170,163,646078,171235,16835,-10,0
-111,170,169,163640,112355,1619,-10,0
-108,134,127,344000,19289,1750,-11,0


-83,214,97,653777,579659,444118,-18,3
-110,144,134,638784,22178,2157,-10,0
-111,137,129,163900,419341,13996,-10,0
-107,163,158,292440,133469,8418,-11,0
-106,137,136,395940,56411,993,-11,0
-106,139,132,341840,319470,30767,-12,0

-109,117,117,524004,301735,27793,-11,0
-90,218,62,340460,127093,91204,-15,3
-115,159,156,716308,42545,735,-9,0
-112,131,128,165760,218378,6198,-10,0
-87,216,85,182800,528963,438962,-18,3
-85,190,68,166260,68948,60269,-18,3

-86,197,60,404900,457634,281858,-18,3
-107,246,241,384480,334947,18409,-12,0
-89,204,60,498520,173337,119747,-16,3
-112,179,167,176040,119672,196,-9,0
-92,260,111,626378,140765,95797,-13,3
-114,147,136,141560,61726,5124,-9,0


-105,165,151,620284,149837,413,-12,0
-95,116,77,623519,124860,46352,-12,1
-95,159,107,522880,287601,81275,-11,1
-98,97,70,461600,88191,21029,-11,1
-97,141,89,176660,276454,96557,-11,1
-95,128,81,159500,214149,58233,-12,1

-97,155,111,526842,307817,53068,-11,1
-106,100,96,644561,34060,326,-11,0
-111,108,102,732618,70635,1170,-10,0
-112,138,127,172240,46018,776,-9,0
-98,120,89,349880,40365,11659,-11,1
-96,93,51,378080,28337,9102,-12,1

-96,245,146,517803,868680,240713,-12,2
-95,193,138,519492,129547,45595,-12,2
-93,213,141,526180,100529,43770,-12,2
-95,207,142,526180,514494,150716,-12,2
-98,187,115,628901,172299,69761,-11,2
-97,198,160,526180,138938,44055,-11,2


-107,187,182,404380,292996,15237,-12,0
-108,127,121,389180,86042,941,-12,0
-112,179,173,503080,283615,13656,-10,0
-112,147,135,169460,40388,3540,-10,0
-108,172,169,286220,496515,4648,-11,0
-108,132,123,375780,104106,8237,-11,0

-109,143,134,372220,175515,14760,-11,0
-111,122,119,523620,431144,39340,-10,0
-109,139,132,167840,125882,655,-11,0
-95,139,82,167840,247245,74496,-12,2
-104,134,132,167360,68629,1933,-12,0
-95,185,114,167840,507633,209756,-12,2

-110,175,175,168940,137862,4301,-11,0
-109,177,172,375180,195018,2304,-11,0
-110,164,164,170980,150768,5100,-10,0
-112,130,127,476100,18918,259,-10,0
-113,168,168,142280,116660,8560,-9,0
-113,194,187,521184,76675,7585,-9,0


-110,207,196,515919,131024,11987,-11,0
-109,201,182,646249,375202,35520,-10,0
-110,148,135,168700,43167,300,-10,0
-99,142,93,169180,74472,26022,-10,1
-104,126,93,661700,36344,12933,-8,1
-104,76,46,169180,20394,5047,-8,1

-111,129,126,340540,124589,1941,-9,0
-115,93,91,719407,213428,9861,-9,0
-112,109,109,340540,57755,5770,-10,0
-108,166,154,157720,53240,2667,-11,0
-112,157,155,296220,179893,11546,-10,0
-115,146,144,730454,24788,780,-9,0

-97,202,149,136220,643714,114125,-12,2
-96,184,124,136220,580495,134713,-12,2
-94,172,118,136220,372400,102812,-12,2
-96,181,139,140140,500399,122088,-12,2
-96,194,147,136220,301546,88676,-12,2
-95,196,142,136220,92806,41949,-12,2


-90,147,46,345380,20458,16878,-15,3
-110,140,127,637185,57448,5389,-11,0
-107,104,95,652782,291239,4045,-11,0
-88,181,60,289140,169361,116541,-16,3
-110,210,204,345380,313104,30655,-10,0
-91,134,44,706930,218948,143022,-14,3

-106,150,144,497100,159143,5317,-12,0
-100,116,75,515300,232541,62427,-11,1
-110,189,172,164220,295060,11314,-11,0
-110,104,100,141540,31534,1153,-11,0
-99,141,117,520104,126510,27677,-10,1
-97,126,97,384160,55999,15978,-11,1

-89,174,82,512820,81991,61418,-14,3
-92,145,23,166900,131994,96465,-15,3
-88,199,54,372820,65768,42908,-15,3
-91,230,69,652926,156605,98753,-14,3
-89,245,80,163180,211723,147732,-15,3
-87,192,49,157600,199071,130527,-18,3


-105,151,142,165540,126208,452,-12,0
-94,167,107,166080,299021,111916,-12,2
-100,190,115,165540,143512,42317,-10,2
-113,174,166,697520,564206,55062,-10,0
-98,218,157,697520,627284,204549,-10,2
-114,178,171,177340,568579,52624,-8,0

-98,136,103,163280,36679,10971,-10,1
-98,159,101,383580,328214,85477,-11,1
-96,173,131,509820,336922,101128,-12,1
-95,100,61,517920,18788,4811,-11,1
-107,148,142,341520,273436,21836,-11,0
-93,88,69,346200,71639,22126,-12,1

-111,178,163,703546,175112,721,-10,0
-108,141,138,394960,65290,5121,-11,0
-106,168,166,394960,144151,10315,-11,0
-109,124,116,644352,41597,2207,-11,0
-86,253,35,642554,746202,528501,-18,3
-88,238,52,703546,411269,328254,-17,3


-116,137,126,654936,20621,1877,-8,0
-112,122,116,163040,66444,731,-10,0
-106,164,154,182860,266631,86,-12,0
-107,146,142,163040,150424,5704,-12,0
-111,138,133,134760,100231,4512,-11,0
-112,136,124,518420,338782,28223,-9,0

-112,96,88,380200,86076,193,-10,0
-111,172,163,706592,248147,12680,-10,0
-109,104,95,512250,127238,3691,-10,0
-110,106,99,176080,295506,28072,-11,0
-97,109,82,142100,267119,79131,-11,1
-98,151,115,384860,294338,87587,-10,1

-95,237,186,140740,224460,105834,-12,2
-97,143,110,137720,327839,147850,-12,2
-94,159,123,137720,79957,27050,-12,2
-100,235,191,137720,220065,54002,-10,2
-112,182,176,644674,120110,10555,-10,0
-99,209,159,532872,83797,32325,-11,2


-104,111,108,391080,116280,2100,-12,0
-109,136,129,387680,68541,5792,-11,0
-111,180,170,645430,552497,42906,-10,0
-114,166,166,285980,427575,22585,-9,0
-114,178,171,645430,365590,28761,-9,0
-115,197,196,169720,240442,1844,-9,0

-97,83,56,497280,190418,81838,-11,1
-112,197,195,637426,26270,1972,-10,0
-105,126,101,177060,19565,3646,-9,1
-102,136,90,638798,22562,8829,-9,1
-102,136,85,145000,150030,51878,-9,1
-100,96,61,394420,104546,37152,-10,1

-108,135,134,181780,88129,4002,-11,0
-106,160,157,343800,227113,21356,-11,0
-96,190,142,343800,96343,20350,-12,2
-97,225,152,343800,93967,44514,-11,2
-110,143,138,528300,178174,11243,-10,0
-112,157,144,178280,431718,32541,-9,0


-104,166,162,168900,266494,21766,-12,0
-109,215,204,142580,213451,9305,-11,0
-107,128,123,514521,301709,21254,-11,0
-106,127,119,514521,79970,2684,-11,0
-108,164,158,340200,253176,24255,-11,0
-108,124,114,522336,323912,19749,-11,0

-108,114,110,148240,83517,4942,-11,0
-109,148,146,288060,300434,9901,-10,0
-109,149,144,641106,171883,7146,-11,0
-106,190,175,650398,73467,5057,-11,0
-106,142,134,401220,338652,19795,-11,0
-108,211,198,347960,210561,7741,-12,0

-108,116,110,142080,48112,992,-10,0
-98,151,103,378540,104915,26619,-11,1
-94,133,105,377120,163774,54088,-11,1
-99,90,70,176220,35546,8394,-10,1
-101,127,105,530982,19850,7211,-9,1
-112,162,156,176220,239519,5204,-9,0


-105,149,147,516420,538022,4008,-12,0
-107,192,178,497200,258189,11795,-12,0
-98,225,167,461080,501128,113169,-11,2
-109,191,180,176580,399704,22337,-11,0
-98,207,141,176580,229358,102715,-11,2
-110,153,148,394800,298156,14781,-10,0

-96,204,147,382500,331930,141341,-12,2
-96,177,131,391980,275088,70252,-12,2
-107,211,196,464220,507832,2743,-12,0
-96,186,140,464220,396465,152696,-12,2
-96,127,63,461660,191771,67161,-12,2
-108,118,110,354000,17066,1337,-11,0

-95,194,138,503420,341774,120433,-12,2
-94,172,111,503898,168376,44688,-12,2
-106,127,115,503420,251079,20368,-12,0
-95,196,128,503420,366323,93393,-12,2
-95,187,128,501942,661783,186738,-12,2
-96,152,112,503420,165187,59504,-12,2


-96,167,131,159180,259720,86931,-12,2
-97,192,119,159180,418075,102967,-11,2
-109,149,137,343320,62391,5478,-10,0
-110,180,172,621382,460680,32432,-11,0
-96,159,133,536448,208973,58320,-11,2
-97,235,179,621382,338083,66855,-11,2

-91,185,44,465040,33837,19133,-15,3
